codepoint,replacement,status,rule_type,notes_safe
U+F156,,UNMAPPED,SIMPLE,unmapped; human review required
U+F158,,UNMAPPED,SIMPLE,unmapped; human review required
U+F15A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F15B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F15C,ป็,VERIFIED,SIMPLE,human-reviewed
U+F15D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F162,,UNMAPPED,SIMPLE,unmapped; human review required
U+F163,,UNMAPPED,SIMPLE,unmapped; human review required
U+F164,ร็,VERIFIED,SIMPLE,human-reviewed
U+F166,,UNMAPPED,SIMPLE,unmapped; human review required
U+F16C,ห็,VERIFIED,SIMPLE,human-reviewed
U+F16E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F170,ก่,VERIFIED,SIMPLE,human-reviewed
U+F171,,UNMAPPED,SIMPLE,unmapped; human review required
U+F173,ค่,VERIFIED,SIMPLE,human-reviewed
U+F175,,UNMAPPED,SIMPLE,unmapped; human review required
U+F176,,UNMAPPED,SIMPLE,unmapped; human review required
U+F177,,UNMAPPED,SIMPLE,unmapped; human review required
U+F178,,UNMAPPED,SIMPLE,unmapped; human review required
U+F179,ช่,VERIFIED,SIMPLE,human-reviewed
U+F17A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F17C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F181,,UNMAPPED,SIMPLE,unmapped; human review required
U+F183,,UNMAPPED,SIMPLE,unmapped; human review required
U+F184,ต่,VERIFIED,SIMPLE,human-reviewed
U+F185,,UNMAPPED,SIMPLE,unmapped; human review required
U+F186,ท่,VERIFIED,SIMPLE,human-reviewed
U+F188,น่,VERIFIED,SIMPLE,human-reviewed
U+F189,,UNMAPPED,SIMPLE,unmapped; human review required
U+F18A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F18B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F18C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F18D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F190,ม่,VERIFIED,SIMPLE,human-reviewed
U+F191,ย่,VERIFIED,SIMPLE,human-reviewed
U+F192,ร่,VERIFIED,SIMPLE,human-reviewed
U+F194,ล่,VERIFIED,SIMPLE,human-reviewed
U+F196,ว่,VERIFIED,SIMPLE,human-reviewed
U+F199,ส่,VERIFIED,SIMPLE,human-reviewed
U+F19A,ห่,VERIFIED,SIMPLE,human-reviewed
U+F19C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F19D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F19E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F19F,ข้,VERIFIED,SIMPLE,human-reviewed
U+F1A1,ค้,VERIFIED,SIMPLE,human-reviewed
U+F1A4,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1A5,จ้,VERIFIED,SIMPLE,human-reviewed
U+F1A6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1A7,ช้,VERIFIED,SIMPLE,human-reviewed
U+F1A8,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1B1,ด้,VERIFIED,SIMPLE,human-reviewed
